MONTH_START,TITLES_ADDED,PCT_CHANGE_MOM
2000-01-01 00:00:00.000,37,
2001-01-01 00:00:00.000,45,21.62
2002-01-01 00:00:00.000,51,13.33
2003-01-01 00:00:00.000,61,19.61
2004-01-01 00:00:00.000,64,4.92
2005-01-01 00:00:00.000,80,25.00
2006-01-01 00:00:00.000,96,20.00
2007-01-01 00:00:00.000,88,-8.33
2008-01-01 00:00:00.000,136,54.55
2009-01-01 00:00:00.000,152,11.76
2010-01-01 00:00:00.000,194,27.63
2011-01-01 00:00:00.000,185,-4.64
2012-01-01 00:00:00.000,237,28.11
2013-01-01 00:00:00.000,288,21.52
2014-01-01 00:00:00.000,352,22.22
2015-01-01 00:00:00.000,560,59.09
2016-01-01 00:00:00.000,902,61.07
2017-01-01 00:00:00.000,1032,14.41
2018-01-01 00:00:00.000,1147,11.14
2019-01-01 00:00:00.000,1030,-10.20
2020-01-01 00:00:00.000,953,-7.48
2021-01-01 00:00:00.000,592,-37.88
